Subject M12, Block B2: 

Utterance 	 Begin 	 End 
M12_B2_CW46  	 11929 	 12040
M12_B2_CW47  	 12040 	 12141
M12_B2_CW48  	 12141 	 12252
M12_B2_CW49  	 12252 	 12352
M12_B2_CW50  	 12352 	 12466
M12_B2_CW51  	 12466 	 12570
M12_B2_CW52  	 12570 	 12670
M12_B2_CW53  	 12670 	 12781
M12_B2_CW54  	 12781 	 12882
M12_B2_CW55  	 12882 	 12998
M12_B2_CW56  	 12998 	 13114
M12_B2_CW57  	 13114 	 13233
M12_B2_CW58  	 13233 	 13342
M12_B2_CW59  	 13342 	 13456
M12_B2_CW60  	 13456 	 13560
M12_B2_CW61  	 13560 	 13669
M12_B2_CW62  	 13669 	 13778
M12_B2_CW63  	 13778 	 13889
M12_B2_CW64  	 13889 	 14000
M12_B2_CW65  	 14000 	 14104
M12_B2_CW66  	 14104 	 14202
M12_B2_CW67  	 14202 	 14312
M12_B2_CW68  	 14312 	 14439
M12_B2_CW69  	 14439 	 14540
M12_B2_CW70  	 14540 	 14652
M12_B2_CW71  	 14652 	 14763
M12_B2_CW72  	 14763 	 14874
M12_B2_CW73  	 14874 	 14993
M12_B2_CW74  	 14993 	 15121
M12_B2_CW75  	 15121 	 15253
M12_B2_CW76  	 15253 	 15350
M12_B2_CW77  	 15350 	 15490
M12_B2_CW78  	 15490 	 15615
M12_B2_CW79  	 15615 	 15726
M12_B2_CW80  	 15726 	 15829
M12_B2_CW81  	 15829 	 15931
M12_B2_CW82  	 15931 	 16032
M12_B2_CW83  	 16032 	 16142
M12_B2_CW84  	 16142 	 16239
M12_B2_CW85  	 16239 	 16344
M12_B2_CW86  	 16344 	 16442
M12_B2_CW87  	 16442 	 16546
M12_B2_CW88  	 16546 	 16637
M12_B2_CW89  	 16637 	 16751
M12_B2_CW90  	 16751 	 16908
M12_B2_CW91  	 16908 	 17023
M12_B2_CW92  	 17023 	 17125
M12_B2_CW93  	 17125 	 17222
M12_B2_CW94  	 17222 	 17335
M12_B2_CW95  	 17335 	 17445
M12_B2_CW96  	 17445 	 17554
M12_B2_CW97  	 17554 	 17656
M12_B2_CW98  	 17656 	 17762
M12_B2_CW99  	 17762 	 17853
M12_B2_CW100  	 17853 	 17931
M12_B2_UW1  	 18077 	 18187
M12_B2_UW2  	 18187 	 18371
M12_B2_UW3  	 18371 	 18582
M12_B2_UW4  	 18582 	 18777
M12_B2_UW5  	 18777 	 18978
M12_B2_UW6  	 18978 	 19075
M12_B2_UW7  	 19075 	 19263
M12_B2_UW8  	 19263 	 19454
M12_B2_UW9  	 19454 	 19593
M12_B2_UW10  	 19593 	 19709
M12_B2_UW11  	 19709 	 19826
M12_B2_UW12  	 19826 	 19947
M12_B2_UW13  	 19947 	 20118
M12_B2_UW14  	 20118 	 20270
M12_B2_UW15  	 20270 	 20511
M12_B2_UW16  	 21419 	 21577
M12_B2_UW17  	 21577 	 21748
M12_B2_UW18  	 21748 	 21879
M12_B2_UW19  	 21879 	 22093
M12_B2_UW20  	 22093 	 22266
M12_B2_UW21  	 22266 	 22444
M12_B2_UW22  	 22444 	 22650
M12_B2_UW23  	 22650 	 22782
M12_B2_UW24  	 22782 	 22903
M12_B2_UW25  	 22903 	 23000
M12_B2_UW26  	 23000 	 23113
M12_B2_UW27  	 23113 	 23276
M12_B2_UW28  	 23276 	 23413
M12_B2_UW29  	 23413 	 23528
M12_B2_UW30  	 23528 	 23810
M12_B2_UW31  	 24748 	 24916
M12_B2_UW32  	 24916 	 25131
M12_B2_UW33  	 25131 	 25274
M12_B2_UW34  	 25274 	 25495
M12_B2_UW35  	 26670 	 26807
M12_B2_UW36  	 26807 	 27060
M12_B2_UW37  	 27060 	 27243
M12_B2_UW38  	 27243 	 27407
M12_B2_UW39  	 27407 	 27562
M12_B2_UW40  	 27562 	 27675
M12_B2_UW41  	 27675 	 27869
M12_B2_UW42  	 27869 	 28087
M12_B2_UW43  	 28087 	 28236
M12_B2_UW44  	 28236 	 28326
M12_B2_UW45  	 28326 	 28474
M12_B2_UW46  	 28474 	 28629
M12_B2_UW47  	 28629 	 28767
M12_B2_UW48  	 28767 	 28940
M12_B2_UW49  	 28940 	 29066
M12_B2_UW50  	 29066 	 29192
M12_B2_UW51  	 29192 	 29332
M12_B2_UW52  	 29332 	 29468
M12_B2_UW53  	 29468 	 29579
M12_B2_UW54  	 29579 	 29715
M12_B2_UW55  	 29715 	 29855
M12_B2_UW56  	 29855 	 29977
M12_B2_UW57  	 29977 	 30154
M12_B2_UW58  	 30154 	 30282
M12_B2_UW59  	 30282 	 30416
M12_B2_UW60  	 30416 	 30575
M12_B2_UW61  	 30575 	 30728
M12_B2_UW62  	 30728 	 30839
M12_B2_UW63  	 30839 	 30971
M12_B2_UW64  	 30971 	 31120
M12_B2_UW65  	 31120 	 31254
M12_B2_UW66  	 31254 	 31471
M12_B2_UW67  	 31471 	 31604
M12_B2_UW68  	 31604 	 31752
M12_B2_UW69  	 31752 	 31879
M12_B2_UW70  	 31879 	 32047
M12_B2_UW71  	 32047 	 32154
M12_B2_UW72  	 32154 	 32317
M12_B2_UW73  	 32317 	 32448
M12_B2_UW74  	 32448 	 32584
M12_B2_UW75  	 32584 	 32708
M12_B2_UW76  	 32708 	 32912
M12_B2_UW77  	 32912 	 33161
M12_B2_UW78  	 33161 	 33359
M12_B2_UW79  	 33359 	 33493
M12_B2_UW80  	 33493 	 33664
M12_B2_UW81  	 33664 	 33819
M12_B2_UW82  	 33819 	 33918
M12_B2_UW83  	 33918 	 34049
M12_B2_UW84  	 34049 	 34167
M12_B2_UW85  	 34167 	 34289
M12_B2_UW86  	 34289 	 34402
M12_B2_UW87  	 34402 	 34480
M12_B2_UW88  	 34480 	 34568
M12_B2_UW89  	 34568 	 34697
M12_B2_UW90  	 34697 	 34799
M12_B2_UW91  	 34799 	 34916
M12_B2_UW92  	 34916 	 35011
M12_B2_UW93  	 35011 	 35113
M12_B2_UW94  	 35113 	 35225
M12_B2_UW95  	 35225 	 35344
M12_B2_UW96  	 35344 	 35453
M12_B2_UW97  	 35453 	 35529
